03.02.2023;A. Borodin;Polowetzer Tänze
03.02.2023;A. Márquez;Danzón No. 4
03.02.2023;E. Grieg;Symphonic Dances, Op. 6
03.02.2023;I. Strawinsky;Scherzo à la Russe
03.02.2023;M. Ravel;Fanfare from L'éventail de Jeanne
03.02.2023;P. Glass;Glassworks: V. Façades
20.01.2023;A. Bruckner;Dextera Domini "Choralmesse für den Gründonnerstag – Offertorium" (WAB 9)
20.01.2023;C. Franck;Dextera Domini (FWV 65)
20.01.2023;C. Monteverdi;Cantate Domino (SV 293)
20.01.2023;J.G. Rheinberger;Drei Geistliche Gesänge, op. 69
20.01.2023;K. Nystedt;I Will Praise Thee, O Lord
20.01.2023;O.d. Lasso;Penitential Psalm No. 6 – De Profundis
20.01.2023;V. Miškinis;Thoughts of Psalms
15.07.2022;A. Caldara;Crucifixus à 16 voci
15.07.2022;B. Marini;Passacaglia à 4, op. 22 Nr. 25
15.07.2022;J.D. Zelenka;Hipocondrie à 7 Concertant, A-Dur, ZWV187
15.07.2022;J.D. Zelenka;Magnificat, C-Dur, ZWV107
15.07.2022;J.D. Zelenka;Miserere, c-Moll, ZWV75
15.07.2022;J.D. Zelenka;Nisi Dominus, ZWV92
15.07.2022;O. Gjeilo;Ave Generosa
08.07.2022;A. Arutjunjan;Trompetenkonzert
08.07.2022;G. Verdi;Nabucco-Ouvertüre
08.07.2022;I. Strawinsky;Zirkuspolka – For a Young Elephant
08.07.2022;R. Schumann;Sinfonie Nr. 1
23.02.2022;A. Khatschaturjan;Masquerade Suite
23.02.2022;C. Nielsen;Kleine Suite für Streichorchester Op. 1
23.02.2022;E. Strauss;Suite in B-Dur für 13 Bläser Op. 4
23.02.2022;V. Ewald;Symphony for Brass Choir Op. 5
05.02.2022;F. Hensel;Gartenlieder, Op. 3
05.02.2022;J. Brahms;Zwölf Deutsche Volkslieder, WoO 35
05.02.2022;P.I. Tschaikowsky;Neun liturgische Chöre, TH 78
25.07.2021;E. Frach;eine amerikanische Gospelweise
25.07.2021;F. Mendelssohn-Bartholdy;Verleih uns Frieden
25.07.2021;G. Fauré;Cantique de Jean Racine
25.07.2021;G.F. Händel;Hallelujah aus dem Messias
25.07.2021;J. Brahms;eine Auswahl deutscher Volkslieder
25.07.2021;J. Clarke;Prince of Denmark’s March
01.02.2020;A. Borodin;Nocturne
01.02.2020;A. Bruckner;Ave Maria, Locus Iste
01.02.2020;E. Rautavaara;Ludus Verbalis
01.02.2020;L.v. Beethoven;Elegischer Gesang
01.02.2020;O. Gjeilo;Dark Night of the Soul
01.02.2020;O. Gjeilo;Luminous Night of the Soul
01.02.2020;P. Glass;Three Songs for Chorus
19.01.2020;A. Pärt;Fratres
19.01.2020;C. Frank;Sinfonie d-Moll
19.01.2020;G. Puccini;Crisantemi
19.01.2020;I. Strawinsky;Symphonie d'instruments à vent
19.01.2020;P. Dukas;Fanfare aus La Péri
05.07.2019;C. Orff;Carmina Burana
02.02.2019;E. Whitacre;Alleluia
02.02.2019;H. Purcell;Music for the Funeral of Queen Mary
02.02.2019;J. Mäntyjärvi;Four Shakespeare Songs
02.02.2019;J.S. Bach;Magnificat D-Dur BWV 243
26.01.2019;P.I. Tschaikowsky;Sinfonie Nr.1 "Winterträume"
26.01.2019;P.I. Tschaikowsky;Violinkonzert in d-Dur, op. 35
14.07.2018;G. Verdi;Messa da Requiem
03.02.2018;A. Pärt;Magnificat
03.02.2018;J.S. Bach;Jesu meine Freude
03.02.2018;P. Stopford;Ave Verum
03.02.2018;P. Stopford;Lully, Lulla, Lullay
28.01.2018;A. Dvořák;Sinfonie Nr. 8 G-Dur op. 88 Pastorale
28.01.2018;M. Bruch;1. Violinkonzert in g-Moll, op. 26
28.01.2018;R. Wagner;Vorspiel zu "Parsifal"
09.07.2017;J. Brahms;Ein deutsches Requiem op.45
19.02.2017;F. Martin;Messe für zwei vierstimmige Chöre a capella
19.02.2017;J. Brahms;Zigeunerlieder
12.02.2017;J.N. Hummel;Fantasie für Viola und Orchester
12.02.2017;M. Ravel;Ma Mère l'Oye - Cinq pièces enfantines
12.02.2017;N. Rimsky-Korsakov;Scheherazade
03.07.2016;A. Dvořák;Cellokonzert in h-moll, op. 104
03.07.2016;F. Mendelssohn-Bartholdy;Ave Maria, op. 23 no. 2
03.07.2016;F. Mendelssohn-Bartholdy;Die erste Walpurgisnacht
14.02.2016;J.S. Bach;Matthäus-Passion
24.01.2016;B. Smetana;„Die Moldau“
24.01.2016;G. Bizet;Auszüge aus der „Carmen-Suite“ 1 & 2
24.01.2016;J. Brahms;Sinfonie Nr. 2 D-Dur op. 73
24.01.2016;W.A. Mozart;Ouvertüre aus der „Zauberflöte“
18.07.2015;E. Grieg;Huldigungsmarsch aus "Sigurd Jorsalfar"
18.07.2015;F. Mendelssohn-Bartholdy;5. Sinfonie "Reformation"
18.07.2015;J. Strauß;Kaiserwalzer
18.07.2015;R. Wagner;Vorspiel zu Lohngrin 3. Akt
10.07.2015;D. Friderici;Drei gute Dinge
10.07.2015;F. Mendelssohn-Bartholdy;Mailied
10.07.2015;F. Schubert;Vie Gesänge für Männerstimmen
10.07.2015;F. Silcher;Am Brunnen vor dem Tore
10.07.2015;F. Silcher;Morgen muss ich fort von hier
10.07.2015;H. Isaac;Dû bist mîn, ich bin dîn
10.07.2015;H.L. Haßler;Feinslieb, du hast mich g‘fangen
10.07.2015;J. Brahms;Abendständchen
10.07.2015;J. Brahms;In stiller Nacht
10.07.2015;J. Brahms;Oh süßer Mai
10.07.2015;J. Haydn;Die Beredsamkeit
10.07.2015;J.S. Bach;Choräle aus der Matthäus-Passion
10.07.2015;R. Schumann;Der Sänger & Sommerlied
10.07.2015;U. Führe;Er und Sie
10.07.2015;W.A. Mozart;Oh, du eselhafter Peierl
07.02.2015;M. Ravel;Pavane pour une infante défunte
07.02.2015;M. Tippett;Oratorium A Child Of Our Time
07.02.2015;P. Dukas;Fanfare aus La Péri
07.02.2015;S. Barber;Adagio for Strings
11.07.2014;E. Elgar;Cellokonzert e-Moll op. 85
11.07.2014;J. Brahms;Variationen über ein Thema von Haydn op. 56a
11.07.2014;J. Sibelius;1. Sinfonie op. 39
09.07.2014;F. Mendelssohn-Bartholdy;Abschied vom Walde
09.07.2014;J. Brahms;Abendlied
09.07.2014;M. Tippett;five spirituals aus dem Oratorium "A child of our time"
09.07.2014;R. Schumann;Zigeunerleben
01.02.2014;A. Bruckner;Te Deum C-Dur WAB 45
01.02.2014;F. Mendelssohn-Bartholdy;Ouvertüre für Harmoniemusik C-Dur op. 24
01.02.2014;H. Andriessen;L'histoire de l'Enfant de Dieu (dt. Erstaufführung)
01.02.2014;J.S. Bach;Konzert für zwei Violinen, Streicher und Continuo d-Moll BWV 1043
07.07.2013;C.M.v. Weber;Ouvertüre zu "Der Freischütz"
07.07.2013;F. Chopin;2. Klavierkonzert in f-Moll op. 21
07.07.2013;J. Brahms;1. Sinfonie in c-Moll op. 68
29.06.2013;H.W. Zimmermann;Psalmkonzert
29.06.2013;J.J.v. Nuffel;Laetatus sum
29.06.2013;W.A. Mozart;Vesperae solennes de Confessore, KV 339
08.12.2012;A. Vivaldi;L'inverno aus "Die Vier Jahreszeiten"
08.12.2012;J. Haydn;Stücke aus dem Herbst und Winter aus "Die Jahreszeiten"
08.12.2012;P.I. Tschaikowsky;Sinfonie Nr.1 "Winterträume"
07.07.2012;J. Rodrigo;Concierto Andaluz
